,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37193,42,3,145175,15,10,2,6,0,4,1,0,0,40,38,0
31093,52,5,175029,0,6,2,2,0,4,1,0,0,35,38,0
33814,34,1,172664,11,9,2,2,0,4,1,0,0,40,38,0
14500,28,3,125791,11,9,4,0,1,4,0,0,0,40,38,0
23399,46,3,28419,8,11,4,13,1,4,1,0,0,50,38,0
27487,54,0,439608,15,10,0,0,1,4,0,0,0,40,38,0
14049,26,3,96645,10,16,4,2,2,2,1,0,0,20,38,0
4949,61,3,373099,5,4,2,2,0,4,1,0,0,40,38,0
47205,39,3,252327,5,4,4,7,3,4,1,0,0,40,25,0
3316,41,3,32627,11,9,0,7,1,4,1,0,0,40,38,0
19854,19,3,365871,5,4,4,9,1,4,1,0,0,40,25,0
28918,70,4,131699,9,13,0,3,4,4,0,0,0,55,38,0
43176,31,1,83671,15,10,4,0,1,2,0,0,0,40,38,0
33920,51,6,94174,15,10,0,0,4,4,0,0,0,35,38,0
21968,71,3,250263,15,10,2,9,0,4,1,3432,0,30,38,0
46996,31,3,129775,9,13,2,11,0,4,1,0,0,65,38,0
32072,39,3,314007,8,11,2,12,0,4,1,0,0,40,38,0
34987,73,5,336007,11,9,2,11,0,4,1,0,0,40,38,0
6237,33,3,103651,11,9,0,7,1,4,1,0,0,60,38,0
34232,21,6,41183,15,10,4,9,3,4,0,0,0,20,38,0
28345,63,4,165667,11,9,2,3,0,4,1,0,0,40,38,0
3524,22,3,61850,12,14,4,11,2,4,0,0,0,21,38,0
37460,23,3,281668,0,6,4,9,3,2,0,0,0,40,38,0
22000,37,3,170408,8,11,0,6,1,4,0,0,0,30,38,0
25699,54,4,99185,10,16,2,9,0,4,1,0,0,50,38,1
16545,26,3,378322,1,7,2,2,0,4,1,0,0,40,38,0
23462,24,5,81145,15,10,4,7,1,4,0,0,0,75,38,0
42008,18,3,57108,1,7,4,11,3,4,1,0,0,16,38,0
19487,45,1,160472,9,13,2,3,0,4,1,0,1977,50,38,1
28580,60,3,56248,11,9,2,9,0,4,1,0,1485,70,38,1
40254,37,3,112271,1,7,2,2,0,4,1,0,0,40,38,1
40820,18,3,120029,11,9,4,7,3,4,0,0,0,40,38,0
40613,41,3,207685,15,10,0,7,1,4,1,0,0,21,38,0
12547,42,3,347890,9,13,2,3,0,4,1,0,1902,50,38,1
22667,37,3,301568,2,8,4,7,3,4,0,0,0,40,38,0
3719,63,1,80655,15,10,0,0,1,4,0,0,0,40,38,0
6355,29,3,337953,11,9,2,11,0,4,1,0,0,40,38,1
6521,31,6,203488,15,10,4,5,1,4,1,0,0,40,38,0
9288,30,3,327112,1,7,5,11,1,4,1,0,0,40,38,0
33006,20,3,163911,15,10,4,9,3,4,0,0,0,40,38,0
37753,33,3,223212,11,9,0,2,4,4,1,0,0,40,38,0
17549,37,3,387430,15,10,2,0,0,4,1,0,0,37,38,0
2284,23,3,365881,9,13,4,3,1,4,1,0,0,25,38,0
39395,19,3,167149,15,10,4,11,3,4,0,0,0,25,38,0
47397,46,3,585361,6,5,0,3,4,4,0,0,0,40,38,0
25354,53,3,263729,15,10,5,0,1,4,0,0,0,40,38,0
3503,39,3,165743,6,5,2,5,0,4,1,0,0,40,38,0
15956,46,3,30840,9,13,2,3,0,4,1,0,0,50,38,1
23417,25,3,219987,7,12,2,9,0,4,1,0,0,13,38,0
27339,21,3,306114,11,9,4,7,1,4,1,0,0,35,38,0
31894,22,1,211129,8,11,4,0,3,4,0,0,0,10,38,0
30149,58,5,121912,8,11,2,2,0,4,1,0,0,42,38,0
25071,36,3,91037,11,9,2,0,5,4,0,0,0,40,38,1
19486,31,3,169269,5,4,4,2,4,4,1,0,0,40,38,0
15526,52,3,174452,15,10,4,11,1,4,0,0,0,40,38,0
24979,44,5,104973,12,14,2,4,0,4,1,0,0,40,38,1
43389,39,3,225504,12,14,4,9,1,4,1,0,0,40,38,0
21160,42,6,55764,7,12,0,9,1,2,1,0,0,40,38,0
20124,20,3,34862,15,10,4,9,3,0,1,0,0,72,38,0
3287,35,3,117555,7,12,2,6,0,4,1,0,0,45,38,0
8661,57,3,102442,15,10,0,0,4,4,0,0,0,40,38,0
